date,pnl
2021-11-09,-0.01
2021-11-10,-0.03
2021-11-11,0.0
2021-11-12,-0.02
2021-11-15,0.0
2021-11-16,0.0
2021-11-17,0.02
2021-11-18,-0.01
2021-11-19,-0.03
2021-11-22,-0.05
2021-11-23,-0.05
2021-11-24,0.03
2021-11-25,0.03
2021-11-26,0.01
2021-11-29,0.03
2021-11-30,0.0
