dtm_in,stock,direction,dtm_out,hold_period,method_out,price_in,price_out
2021-03-25 11:13:03,SH600000,long,2021-03-25 13:02:03,76,long_reverse,10.69,10.68
2021-03-25 13:02:03,SH600000,short,2021-03-25 13:02:18,1,short_reverse,10.68,10.69
2021-03-25 13:02:18,SH600000,long,2021-03-25 13:33:18,124,long_reverse,10.69,10.67
2021-03-25 13:33:18,SH600000,short,2021-03-25 13:50:18,68,short_reverse,10.67,10.64
2021-03-25 13:50:18,SH600000,long,2021-03-25 14:16:48,106,long_reverse,10.64,10.67
2021-03-25 14:16:48,SH600000,short,2021-03-25 14:33:18,66,short_reverse,10.67,10.64
2021-03-25 14:33:18,SH600000,long,2021-03-25 14:42:33,37,long_reverse,10.64,10.66
2021-03-25 14:42:33,SH600000,short,2021-03-25 14:55:03,50,short_end,10.66,10.64
2021-03-26 09:45:03,SH600000,long,2021-03-26 09:54:48,39,long_reverse,10.66,10.71
2021-03-26 09:54:48,SH600000,short,2021-03-26 10:13:18,74,short_reverse,10.71,10.71
2021-03-26 10:13:18,SH600000,long,2021-03-26 10:59:03,183,long_reverse,10.71,10.66
2021-03-26 10:59:03,SH600000,short,2021-03-26 11:08:48,39,short_reverse,10.66,10.63
2021-03-26 11:08:48,SH600000,long,2021-03-26 11:20:18,46,long_reverse,10.63,10.65
2021-03-26 11:20:18,SH600000,short,2021-03-26 13:01:33,45,short_reverse,10.65,10.64
2021-03-26 13:01:33,SH600000,long,2021-03-26 13:20:33,76,long_reverse,10.64,10.65
2021-03-26 13:20:33,SH600000,short,2021-03-26 13:25:48,21,short_reverse,10.65,10.64
2021-03-26 13:25:48,SH600000,long,2021-03-26 14:09:03,173,long_reverse,10.64,10.68
2021-03-26 14:09:03,SH600000,short,2021-03-26 14:34:03,100,short_reverse,10.68,10.63
2021-03-26 14:34:03,SH600000,long,2021-03-26 14:47:48,55,long_reverse,10.63,10.64
2021-03-26 14:47:48,SH600000,short,2021-03-26 14:55:03,29,short_end,10.64,10.64
2021-03-29 09:40:48,SH600000,long,2021-03-29 10:06:48,104,long_reverse,10.41,10.47
2021-03-29 10:06:48,SH600000,short,2021-03-29 10:21:18,58,short_reverse,10.47,10.44
2021-03-29 10:21:18,SH600000,long,2021-03-29 10:48:33,109,long_reverse,10.44,10.42
2021-03-29 10:48:33,SH600000,short,2021-03-29 11:04:18,63,short_reverse,10.42,10.42
2021-03-29 11:04:18,SH600000,long,2021-03-29 11:26:48,90,long_reverse,10.42,10.45
2021-03-29 11:26:48,SH600000,short,2021-03-29 13:14:03,69,short_reverse,10.45,10.41
2021-03-29 13:14:03,SH600000,long,2021-03-29 13:18:48,19,long_reverse,10.41,10.42
2021-03-29 13:18:48,SH600000,short,2021-03-29 14:13:18,218,short_reverse,10.42,10.45
2021-03-29 14:13:18,SH600000,long,2021-03-29 14:33:18,80,long_reverse,10.45,10.49
2021-03-29 14:33:18,SH600000,short,2021-03-29 14:55:03,87,short_end,10.49,10.49
2021-03-30 09:59:48,SH600000,short,2021-03-30 10:27:48,112,short_reverse,10.93,10.77
2021-03-30 10:27:48,SH600000,long,2021-03-30 10:31:33,15,long_reverse,10.77,10.8
2021-03-30 10:31:33,SH600000,short,2021-03-30 11:23:48,209,short_reverse,10.8,10.92
2021-03-30 11:23:48,SH600000,long,2021-03-30 13:05:33,47,long_reverse,10.92,10.95
2021-03-30 13:05:33,SH600000,short,2021-03-30 13:15:48,41,short_reverse,10.95,10.9
2021-03-30 13:15:48,SH600000,long,2021-03-30 13:29:33,55,long_reverse,10.9,10.93
2021-03-30 13:29:33,SH600000,short,2021-03-30 13:42:18,51,short_reverse,10.93,10.92
2021-03-30 13:42:18,SH600000,long,2021-03-30 13:48:18,24,long_reverse,10.92,10.93
2021-03-30 13:48:18,SH600000,short,2021-03-30 14:21:33,133,short_reverse,10.93,10.95
2021-03-30 14:21:33,SH600000,long,2021-03-30 14:31:18,39,long_reverse,10.95,10.99
2021-03-30 14:31:18,SH600000,short,2021-03-30 14:55:03,95,short_end,10.99,10.99
2021-03-31 10:05:33,SH600000,long,2021-03-31 10:11:33,24,long_reverse,10.89,10.91
2021-03-31 10:11:33,SH600000,short,2021-03-31 10:40:48,117,short_reverse,10.91,10.88
2021-03-31 10:40:48,SH600000,long,2021-03-31 10:51:33,43,long_reverse,10.88,10.9
2021-03-31 10:51:33,SH600000,short,2021-03-31 10:55:33,16,short_reverse,10.9,10.88
2021-03-31 10:55:33,SH600000,long,2021-03-31 11:11:18,63,long_reverse,10.88,10.91
2021-03-31 11:11:18,SH600000,short,2021-03-31 13:00:33,77,short_reverse,10.91,10.9
2021-03-31 13:00:33,SH600000,long,2021-03-31 13:21:33,84,long_reverse,10.9,10.94
2021-03-31 13:21:33,SH600000,short,2021-03-31 13:30:33,36,short_reverse,10.94,10.93
2021-03-31 13:30:33,SH600000,long,2021-03-31 13:46:18,63,long_reverse,10.93,10.97
2021-03-31 13:46:18,SH600000,short,2021-03-31 14:18:03,127,short_reverse,10.97,10.99
2021-03-31 14:18:03,SH600000,long,2021-03-31 14:38:18,81,long_reverse,10.99,10.99
2021-03-31 14:38:18,SH600000,short,2021-03-31 14:49:18,44,short_reverse,10.99,10.97
2021-03-31 14:49:18,SH600000,long,2021-03-31 14:55:03,23,long_end,10.97,10.97
2021-04-01 09:50:03,SH600000,long,2021-04-01 10:00:33,42,long_reverse,10.88,10.89
2021-04-01 10:00:33,SH600000,short,2021-04-01 10:15:48,61,short_reverse,10.89,10.86
2021-04-01 10:15:48,SH600000,long,2021-04-01 10:31:33,63,long_reverse,10.86,10.89
2021-04-01 10:31:33,SH600000,short,2021-04-01 10:44:33,52,short_reverse,10.89,10.87
2021-04-01 10:44:33,SH600000,long,2021-04-01 11:10:33,104,long_reverse,10.87,10.87
2021-04-01 11:10:33,SH600000,short,2021-04-01 11:14:18,15,short_reverse,10.87,10.86
2021-04-01 11:14:18,SH600000,long,2021-04-01 11:28:18,56,long_reverse,10.86,10.87
2021-04-01 11:28:18,SH600000,short,2021-04-01 13:34:18,144,short_reverse,10.87,10.82
2021-04-01 13:34:18,SH600000,long,2021-04-01 13:48:03,55,long_reverse,10.82,10.86
2021-04-01 13:48:03,SH600000,short,2021-04-01 14:20:03,128,short_reverse,10.86,10.85
2021-04-01 14:20:03,SH600000,long,2021-04-01 14:43:18,93,long_reverse,10.85,10.91
2021-04-01 14:43:18,SH600000,short,2021-04-01 14:55:03,47,short_end,10.91,10.89
2021-04-02 09:47:33,SH600000,short,2021-04-02 09:59:48,49,short_reverse,10.84,10.82
2021-04-02 09:59:48,SH600000,long,2021-04-02 11:14:03,297,long_reverse,10.82,10.73
2021-04-02 11:14:03,SH600000,short,2021-04-02 13:08:18,97,short_reverse,10.73,10.74
2021-04-02 13:08:18,SH600000,long,2021-04-02 13:14:18,24,long_reverse,10.74,10.76
2021-04-02 13:14:18,SH600000,short,2021-04-02 13:22:48,34,short_reverse,10.76,10.74
2021-04-02 13:22:48,SH600000,long,2021-04-02 13:51:48,116,long_reverse,10.74,10.82
2021-04-02 13:51:48,SH600000,short,2021-04-02 14:10:18,74,short_reverse,10.82,10.8
2021-04-02 14:10:18,SH600000,long,2021-04-02 14:16:03,23,long_reverse,10.8,10.81
2021-04-02 14:16:03,SH600000,short,2021-04-02 14:42:33,106,short_reverse,10.81,10.74
2021-04-02 14:42:33,SH600000,long,2021-04-02 14:55:03,50,long_end,10.74,10.74
