,localtime,time,symbol,signal,bvol1,bid1,avol1,ask1,mid,direction,volume,exposure
0,09:30:00.194688303,09:30:00.000000000,sh600338,7.30753,10900,30.44,4700,30.45,30.445,,0.0,0.0
1,09:30:03.202636720,09:30:03.000000000,sh600338,22.3987,6800,30.45,100,30.49,30.47,,0.0,0.0
2,09:30:05.867535018,09:30:05.000000000,sh600338,11.2336,25500,30.45,6100,30.5,30.475,,0.0,0.0
3,09:30:08.868433677,09:30:08.000000000,sh600338,-4.3258,29100,30.55,5900,30.57,30.56,,0.0,0.0
4,09:30:11.860107168,09:30:11.000000000,sh600338,-10.7018,6400,30.5,125800,30.55,30.525,,0.0,0.0
5,09:30:14.863398306,09:30:14.000000000,sh600338,-4.788819999999999,47100,30.45,3700,30.49,30.47,,0.0,0.0
6,09:30:17.861358273,09:30:17.000000000,sh600338,-14.2765,6900,30.43,181100,30.45,30.44,,0.0,0.0
7,09:30:20.860845908,09:30:20.000000000,sh600338,6.34106,33600,30.4,1500,30.41,30.405,,0.0,0.0
8,09:30:23.861723713,09:30:23.000000000,sh600338,-3.6491800000000003,1900,30.35,374400,30.4,30.375,,0.0,0.0
9,09:30:26.863414613,09:30:26.000000000,sh600338,6.814710000000001,300,30.28,1200,30.3,30.29,,0.0,0.0
10,09:30:29.861857547,09:30:29.000000000,sh600338,20.6126,800,30.21,400,30.22,30.215,,0.0,0.0
11,09:30:32.861818242,09:30:32.000000000,sh600338,12.56,100,30.18,4400,30.21,30.195,,0.0,0.0
12,09:30:35.863066092,09:30:35.000000000,sh600338,8.441889999999999,700,30.15,5300,30.2,30.175,,0.0,0.0
13,09:30:38.860705555,09:30:38.000000000,sh600338,7.37078,6100,30.13,2800,30.14,30.135,,0.0,0.0
14,09:30:41.863392314,09:30:41.000000000,sh600338,16.8543,500,30.05,4000,30.08,30.065,,0.0,0.0
15,09:30:44.862230966,09:30:44.000000000,sh600338,12.3428,20100,30.01,4500,30.08,30.045,,0.0,0.0
