localtime,time,symbol,signal,signal_sim,SameFlag
09:33:34.201215815,09:33:34.000000000,sh603988,-0.476284,-0.476284,1
09:33:37.199813627,09:33:37.000000000,sh603988,-0.140125,-0.140125,1
09:33:40.205089246,09:33:40.000000000,sh603988,-11.9207,-11.9207,1
09:33:43.202326242,09:33:43.000000000,sh603988,29.384,29.384,1
09:33:46.199577740,09:33:46.000000000,sh603988,40.5553,40.5553,1
09:33:49.200702317,09:33:49.000000000,sh603988,25.7937,25.7937,1
09:33:52.201088916,09:33:52.000000000,sh603988,23.7869,23.7869,1
09:33:55.196760576,09:33:55.000000000,sh603988,22.1277,22.1277,1
09:33:58.199688168,09:33:58.000000000,sh603988,19.3675,19.3675,1
09:34:01.195073452,09:34:01.000000000,sh603988,12.2798,12.2798,1
09:34:04.204188093,09:34:04.000000000,sh603988,18.3222,18.3222,1
09:34:07.195196337,09:34:07.000000000,sh603988,22.7615,22.7615,1
09:34:10.199851797,09:34:10.000000000,sh603988,14.1024,14.1024,1
09:34:13.204525308,09:34:13.000000000,sh603988,26.4993,26.4993,1
09:34:16.196761937,09:34:16.000000000,sh603988,12.9989,12.9989,1
09:34:20.163634490,09:34:20.000000000,sh603988,13.8886,13.8886,1
09:34:23.168424391,09:34:23.000000000,sh603988,18.0989,18.0989,1
09:34:26.150990142,09:34:26.000000000,sh603988,7.2635,7.2635,1
09:34:29.066076673,09:34:29.000000000,sh603988,3.58481,3.58481,1
09:34:32.051748189,09:34:32.000000000,sh603988,-15.1209,-15.1209,1
09:34:34.927160942,09:34:34.000000000,sh603988,-20.4235,-20.4235,1
09:34:37.928533495,09:34:37.000000000,sh603988,-15.3798,-15.3798,1
09:34:40.937017730,09:34:40.000000000,sh603988,-17.1391,-17.1391,1
09:34:43.932651046,09:34:43.000000000,sh603988,-23.0957,-23.0957,1
09:34:46.931907874,09:34:46.000000000,sh603988,-30.1676,-30.1676,1
09:34:49.937716734,09:34:49.000000000,sh603988,-29.2659,-29.2659,1
09:34:52.933063624,09:34:52.000000000,sh603988,-23.2528,-23.2528,1
09:34:55.935037894,09:34:55.000000000,sh603988,-21.4594,-21.4594,1
09:34:58.927071985,09:34:58.000000000,sh603988,-21.8184,-21.8184,1
09:35:01.603949468,09:35:01.000000000,sh603988,12.8684,12.8684,1
09:35:04.594146185,09:35:04.000000000,sh603988,-11.3107,-11.3107,1
09:35:07.596692232,09:35:07.000000000,sh603988,-23.9814,-23.9814,1
09:35:10.593998462,09:35:10.000000000,sh603988,-23.8487,-23.8487,1
09:35:13.602112183,09:35:13.000000000,sh603988,4.10931,4.10931,1
09:35:16.598152028,09:35:16.000000000,sh603988,-1.61765,-1.61765,1
09:35:19.594937764,09:35:19.000000000,sh603988,14.2716,14.2716,1
09:35:22.601656859,09:35:22.000000000,sh603988,12.0429,12.0429,1
09:35:25.597642382,09:35:25.000000000,sh603988,-16.6332,-16.6332,1
09:35:28.594037596,09:35:28.000000000,sh603988,-5.51931,-5.51931,1
09:35:31.591866713,09:35:31.000000000,sh603988,0.380061,0.380061,1
09:35:34.603640832,09:35:34.000000000,sh603988,-1.52018,-1.52018,1
09:35:37.602725265,09:35:37.000000000,sh603988,3.75775,3.75775,1
09:35:40.600010808,09:35:40.000000000,sh603988,2.82275,2.82275,1
09:35:43.601708783,09:35:43.000000000,sh603988,-0.429619,-0.429619,1
09:35:46.604406218,09:35:46.000000000,sh603988,-9.68065,-9.68065,1
09:35:49.510669378,09:35:49.000000000,sh603988,-3.17413,-3.17413,1
