,localtime,time,symbol,signal,bvol1,bid1,avol1,ask1,mid,direction,volume,exposure
0,09:30:00.000000000,09:30:00.000000000,sh600223,1.1665,7000,12.27,5100,12.28,12.275,,0.0,0.0
1,09:30:02.000000000,09:30:02.000000000,sh600223,-3.1795400000000003,63900,12.25,300,12.26,12.255,,0.0,0.0
2,09:30:06.000000000,09:30:06.000000000,sh600223,-4.94307,50300,12.25,26500,12.27,12.26,,0.0,0.0
3,09:30:09.000000000,09:30:09.000000000,sh600223,-9.892619999999999,3500,12.2,12700,12.25,12.225,,0.0,0.0
4,09:30:12.000000000,09:30:12.000000000,sh600223,-13.1122,700,12.17,11300,12.24,12.205,,0.0,0.0
5,09:30:15.000000000,09:30:15.000000000,sh600223,-7.28459,1700,12.15,600,12.17,12.16,,0.0,0.0
6,09:30:18.000000000,09:30:18.000000000,sh600223,-12.033,700,12.12,21400,12.15,12.135,,0.0,0.0
7,09:30:21.000000000,09:30:21.000000000,sh600223,-13.9346,400,12.12,1100,12.13,12.125,,0.0,0.0
8,09:30:24.000000000,09:30:24.000000000,sh600223,-9.61787,600,12.11,600,12.12,12.115,,0.0,0.0
9,09:30:27.000000000,09:30:27.000000000,sh600223,-11.482999999999999,2200,12.1,2400,12.12,12.11,,0.0,0.0
10,09:30:30.000000000,09:30:30.000000000,sh600223,-8.7703,2400,12.12,10600,12.15,12.135,,0.0,0.0
11,09:30:33.000000000,09:30:33.000000000,sh600223,-3.99876,100,12.08,2200,12.09,12.085,,0.0,0.0
12,09:30:36.000000000,09:30:36.000000000,sh600223,-3.7359400000000003,2100,12.13,3300,12.15,12.14,,0.0,0.0
13,09:30:39.000000000,09:30:39.000000000,sh600223,0.552045,800,12.13,1100,12.15,12.14,,0.0,0.0
14,09:30:42.000000000,09:30:42.000000000,sh600223,3.4064099999999997,35000,12.15,500,12.17,12.16,,0.0,0.0
15,09:30:45.000000000,09:30:45.000000000,sh600223,4.31951,32400,12.15,500,12.17,12.16,,0.0,0.0
16,09:30:48.000000000,09:30:48.000000000,sh600223,4.16367,19900,12.15,400,12.17,12.16,,0.0,0.0
17,09:30:51.000000000,09:30:51.000000000,sh600223,1.41143,16600,12.15,7300,12.16,12.155,,0.0,0.0
18,09:30:54.000000000,09:30:54.000000000,sh600223,4.11404,9500,12.12,900,12.15,12.135,,0.0,0.0
19,09:30:56.000000000,09:30:56.000000000,sh600223,3.5533099999999997,7900,12.12,15200,12.14,12.13,,0.0,0.0
20,09:30:59.000000000,09:30:59.000000000,sh600223,5.56771,1900,12.11,10200,12.12,12.115,,0.0,0.0
21,09:31:02.000000000,09:31:02.000000000,sh600223,2.65181,2700,12.11,17200,12.12,12.115,,0.0,0.0
22,09:31:05.000000000,09:31:05.000000000,sh600223,1.79591,9200,12.11,19400,12.12,12.115,,0.0,0.0
23,09:31:08.000000000,09:31:08.000000000,sh600223,1.9705099999999998,100,12.12,1500,12.13,12.125,,0.0,0.0
24,09:31:11.000000000,09:31:11.000000000,sh600223,-0.43209899999999996,7700,12.13,1100,12.15,12.14,,0.0,0.0
25,09:31:14.000000000,09:31:14.000000000,sh600223,-2.03162,300,12.14,600,12.16,12.15,,0.0,0.0
26,09:31:17.000000000,09:31:17.000000000,sh600223,2.3235,3300,12.12,15300,12.13,12.125,,0.0,0.0
27,09:31:20.000000000,09:31:20.000000000,sh600223,1.07307,900,12.14,100,12.15,12.145,,0.0,0.0
28,09:31:23.000000000,09:31:23.000000000,sh600223,2.29719,3100,12.16,1700,12.17,12.165,,0.0,0.0
29,09:31:26.000000000,09:31:26.000000000,sh600223,3.36915,1700,12.15,2600,12.17,12.16,,0.0,0.0
30,09:31:29.000000000,09:31:29.000000000,sh600223,3.84134,2400,12.15,100,12.16,12.155,,0.0,0.0
31,09:31:32.000000000,09:31:32.000000000,sh600223,5.81375,900,12.16,3300,12.17,12.165,,0.0,0.0
32,09:31:35.000000000,09:31:35.000000000,sh600223,7.99388,7100,12.16,2300,12.17,12.165,,0.0,0.0
33,09:31:38.000000000,09:31:38.000000000,sh600223,6.049919999999999,18600,12.16,1500,12.2,12.18,,0.0,0.0
34,09:31:41.000000000,09:31:41.000000000,sh600223,7.87476,47100,12.16,1100,12.19,12.175,,0.0,0.0
35,09:31:44.000000000,09:31:44.000000000,sh600223,5.2498,300,12.19,1300,12.2,12.195,,0.0,0.0
36,09:31:47.000000000,09:31:47.000000000,sh600223,6.93686,3500,12.2,900,12.21,12.205,,0.0,0.0
37,09:31:50.000000000,09:31:50.000000000,sh600223,8.19231,6600,12.21,3000,12.23,12.22,,0.0,0.0
38,09:31:53.000000000,09:31:53.000000000,sh600223,9.46107,5300,12.23,8000,12.24,12.235,,0.0,0.0
39,09:31:56.000000000,09:31:56.000000000,sh600223,11.0275,6400,12.23,7700,12.24,12.235,,0.0,0.0
40,09:31:59.000000000,09:31:59.000000000,sh600223,12.5165,3500,12.23,6400,12.25,12.24,,0.0,0.0
41,09:32:02.000000000,09:32:02.000000000,sh600223,16.646,5200,12.23,6200,12.25,12.24,,0.0,0.0
42,09:32:05.000000000,09:32:05.000000000,sh600223,22.430999999999997,4700,12.23,100,12.24,12.235,,0.0,0.0
43,09:32:08.000000000,09:32:08.000000000,sh600223,22.1959,2000,12.24,6900,12.25,12.245,,0.0,0.0
44,09:32:11.000000000,09:32:11.000000000,sh600223,21.2941,3300,12.23,12800,12.24,12.235,,0.0,0.0
45,09:32:14.000000000,09:32:14.000000000,sh600223,19.3207,1900,12.22,3500,12.23,12.225,,0.0,0.0
46,09:32:17.000000000,09:32:17.000000000,sh600223,17.705,9400,12.22,12000,12.24,12.23,,0.0,0.0
47,09:32:20.000000000,09:32:20.000000000,sh600223,20.7387,500,12.19,1800,12.2,12.195,,0.0,0.0
48,09:32:23.000000000,09:32:23.000000000,sh600223,18.2687,3600,12.2,11300,12.24,12.22,,0.0,0.0
49,09:32:26.000000000,09:32:26.000000000,sh600223,18.8575,1000,12.21,900,12.23,12.22,,0.0,0.0
50,09:32:29.000000000,09:32:29.000000000,sh600223,18.8865,2200,12.21,400,12.23,12.22,,0.0,0.0
51,09:32:32.000000000,09:32:32.000000000,sh600223,17.4062,500,12.23,11700,12.24,12.235,,0.0,0.0
52,09:32:35.000000000,09:32:35.000000000,sh600223,18.7694,400,12.21,900,12.23,12.22,,0.0,0.0
53,09:32:38.000000000,09:32:38.000000000,sh600223,19.7314,2200,12.21,2100,12.23,12.22,,0.0,0.0
54,09:32:41.000000000,09:32:41.000000000,sh600223,20.0433,300,12.22,100,12.23,12.225,,0.0,0.0
55,09:32:44.000000000,09:32:44.000000000,sh600223,17.6325,100,12.22,100,12.23,12.225,,0.0,0.0
56,09:32:47.000000000,09:32:47.000000000,sh600223,15.4457,1900,12.24,3000,12.25,12.245,,0.0,0.0
57,09:32:50.000000000,09:32:50.000000000,sh600223,15.0638,1900,12.24,3100,12.25,12.245,,0.0,0.0
58,09:32:53.000000000,09:32:53.000000000,sh600223,14.0301,16100,12.25,2300,12.26,12.255,,0.0,0.0
